a.idpessoa,c.idpessoa,b.total
1,196,24.751731252581102
1,197,24.62935240723962
1,194,24.59873370724599
1,195,24.5675090312388
1,200,25.180279982557778
1,198,24.752680662910027
1,199,24.8620031373178
1,183,24.02841651045695
1,182,24.015299290244126
1,185,24.121801342354182
1,184,24.169683489859775
1,179,23.96498487376948
1,178,23.94504124030694
1,181,23.912919102443347
1,180,23.87433768714852
1,191,24.48065358604627
1,190,24.41996109743011
1,193,24.652515084672398
1,192,24.51249681285038
1,187,24.305194917959412
1,186,24.2502474214182
1,189,24.36607477621293
1,188,24.33608226481822
1,166,23.41302628879915
1,167,23.558414632568127
1,168,23.549560505453176
1,169,23.58142701364784
1,162,23.05057266099912
1,163,23.122841520885792
1,164,23.226024197007977
1,165,23.232434224592136
1,174,23.730750093496834
1,175,23.85372507597084
1,176,23.857745073665285
1,177,23.81667063214336
1,170,23.58827039017486
1,171,23.72400682852709
1,172,23.754925804977795
1,173,23.73760729306979
1,153,23.54876854529765
1,152,23.464057620113362
1,151,23.263813101037414
1,150,23.236955480441065
1,149,23.181520657627274
1,148,23.12726745640306
1,147,23.095215954824933
1,146,22.94177412494509
1,161,22.985638994815872
1,160,24.349137561728956
1,159,24.218391771544205
1,158,23.811184346856837
1,157,23.737649420277485
1,156,23.596620520744068
1,155,23.604442378501556
1,154,23.654923377597314
1,136,17.10403753503833
1,137,17.224819302390372
1,134,16.974513247807728
1,135,17.010144032312013
1,132,16.19336283790368
1,133,16.5480391587644
1,130,16.665611299919362
1,131,17.013797342157336
1,144,22.57675353101061
1,145,22.89750423081083
1,142,22.286931148096638
1,143,22.407277835560482
1,140,17.27056744869722
1,141,22.20495665386447
1,138,17.03522233491539
1,139,17.91698635373706
1,122,18.76356042972655
1,123,15.848305903155708
1,124,15.903219799776398
1,125,16.51193810550415
1,126,16.278697736612717
1,127,16.538539838812856
1,128,16.01400012489072
1,129,16.609843467052904
1,114,6.791178101036667
1,115,7.285890474060121
1,116,9.142647319020897
1,117,3.4724343046341413
1,118,5.084142012178652
1,119,5.126919152863637
1,120,6.250151998151725
1,121,18.23760126771062
1,107,6.169489444030195
1,106,6.076001974983221
1,109,7.021289055437043
1,108,6.18012944848245
1,111,6.640783086353598
1,110,7.107756326718017
1,113,8.071009850074525
1,112,6.514637365195395
1,99,5.613563930338729
1,98,5.605015611039812
1,101,6.217370826965365
1,100,5.8437060158772525
1,103,5.922870925488754
1,102,6.1602759678442975
1,105,6.106594795792496
1,104,6.104424624811089
1,92,5.176069937703702
1,93,5.30849319487178
1,90,5.313689866749847
1,91,4.996038430596787
1,96,5.44390484854392
1,97,5.797904793975148
1,94,6.1722362236064825
1,95,5.3695437422559475
1,84,5.419446466199293
1,85,4.606788469204984
1,82,4.754324347370508
1,83,4.558969181733959
1,88,5.088152906507429
1,89,5.536533211315543
1,86,5.01010977923638
1,87,4.820632738552067
1,77,4.273382735023859
1,76,4.415110417645293
1,75,4.351091817004095
1,74,4.216266120633279
1,81,4.600271731104587
1,80,4.5361657818029535
1,79,5.344950888455385
1,78,4.834097640718483
1,69,4.876033223840872
1,68,3.87722839151887
1,67,4.967293025381129
1,66,3.6670560399317598
1,73,4.44112598335152
1,72,4.025481337678763
1,71,4.209002257067582
1,70,4.079571055883204
1,62,4.324742766916896
1,63,3.5805027579936315
1,64,3.6120354372569494
1,65,3.8013944809766853
1,58,3.96692576184632
1,59,3.725385886052612
1,60,3.4557922391254947
1,61,4.592602747897972
1,54,3.496927222576987
1,55,3.2867308986286052
1,56,4.481785358537376
1,57,3.8015786194684966
1,50,3.263694225873496
1,51,3.2379777639755343
1,2,3.600055555126894
1,3,2.1663333076883613
1,4,2.7460699189933244
1,5,0.8875246475450699
1,6,1.407302383995708
1,7,1.102225022397877
1,8,3.56388832597207
1,9,1.1761377470347596
1,10,1.880877454806666
1,11,2.888044320989552
1,12,1.7039366185395515
1,13,1.794937324811092
1,14,3.6095567594927784
1,15,1.6866831356244718
1,16,2.7131162894354524
1,17,2.650962089506374
1,19,2.0306649157357306
1,18,1.7702542190318316
1,21,3.192303243741108
1,20,1.8288794383446934
1,23,2.3686494041964083
1,22,1.9216659439142905
1,25,3.221443775700579
1,24,3.70563085047607
1,27,2.199113457737004
1,26,3.52330810460851
1,29,3.410175948539899
1,28,2.2318154045529845
1,31,2.600173071162764
1,30,2.359364321167886
1,33,2.358495283014151
1,32,2.553624874565566
1,36,2.5200793638296393
1,37,2.7032572944505304
1,34,2.859545418418809
1,35,2.4763077353188563
1,40,2.8183150994876356
1,41,2.8014282071829006
1,38,2.9215920317525508
1,39,2.7225906780123963
1,44,3.273912033027156
1,45,3.4368153863715176
1,42,3.8963187754597284
1,43,5.434822904198443
1,48,3.550056337581138
1,49,3.910115087820307
1,46,2.995413160150032
1,47,4.264000469043126
1,53,3.23736003558455
1,52,3.465385981387932
2,191,24.313165157996192
2,192,24.355543516825897
2,193,24.42280286944969
2,194,24.433429967976252
2,187,24.172383002095597
2,188,24.201927609180224
2,189,24.19194080680589
2,190,24.216475796448997
2,199,24.746272446572636
2,200,25.148886655277604
2,195,24.459454204867285
2,196,24.470002043318267
2,197,24.54938288430078
2,198,24.683216970241137
2,166,23.3669210637602
2,165,23.24967096541368
2,164,23.095735537107277
2,163,23.06081091375583
2,170,23.55
2,169,23.47121002419773
2,168,23.44229084368676
2,167,23.423545846007176
2,158,23.56178473715436
2,157,23.440008532421658
2,156,23.36359775377072
2,155,23.271237612125404
2,162,22.928857363593156
