a.idpessoa,c.idpessoa,b.total
1,12,1.0
1,32,0.16666666666666666
1,6,0.75
1,20,0.6666666666666666
1,13,1.0
1,4,1.0
1,2,0.8888888888888888
1,7,0.75
1,18,1.0
1,8,1.0
1,5,1.0
1,11,1.0
1,22,1.0
1,3,0.6
1,14,0.8
1,9,0.4
1,2,0
1,3,0
1,4,0
1,9,0
1,11,0
1,12,0
1,13,0
1,5,0
1,6,0
1,7,0
1,8,0
1,22,0
1,14,0
1,20,0
1,18,0
1,32,0
2,31,0.25
2,14,0.8
2,22,1.0
2,20,0.6666666666666666
2,3,0.5
2,1,0.5
2,4,0.8333333333333334
2,8,1.0
2,18,1.0
2,31,0
2,18,0
2,20,0
2,22,0
2,8,0
2,14,0
2,4,0
2,3,0
2,1,0
3,10,0.5
3,29,0.3333333333333333
3,28,0.25
3,14,0.8
3,8,1.0
3,9,0.6
3,4,0.8333333333333334
3,2,0.5555555555555556
3,1,0.375
3,33,0.16666666666666666
3,33,0
3,1,0
3,4,0
3,2,0
3,9,0
3,10,0
3,8,0
3,14,0
3,29,0
3,28,0
4,2,0.5555555555555556
4,3,0.5
4,14,0.8
4,1,0.375
4,8,1.0
4,13,1.0
4,1,0
4,3,0
4,2,0
4,13,0
4,14,0
4,8,0
5,11,0.6666666666666666
5,7,0.5
5,1,0.1875
5,1,0
5,11,0
5,7,0
6,11,0.6666666666666666
6,7,0.75
6,17,1.0
6,1,0.1875
6,1,0
6,11,0
6,7,0
6,17,0
7,17,1.0
7,1,0.1875
7,6,0.75
7,5,0.6666666666666666
7,1,0
7,5,0
7,6,0
7,17,0
8,2,0.4444444444444444
8,3,0.4
8,4,0.6666666666666666
8,1,0.25
8,3,0
8,4,0
8,1,0
8,2,0
9,31,0.75
9,3,0.3
9,34,0.17647058823529413
9,33,0.3333333333333333
9,1,0.125
9,34,0
9,3,0
9,1,0
9,33,0
9,31,0
10,3,0.1
10,34,0.058823529411764705
10,34,0
10,3,0
11,5,0.6666666666666666
11,6,0.5
11,1,0.1875
11,1,0
11,5,0
11,6,0
12,1,0.0625
12,1,0
13,4,0.3333333333333333
13,1,0.125
13,1,0
13,4,0
14,34,0.058823529411764705
14,3,0.4
14,4,0.6666666666666666
14,1,0.25
14,2,0.4444444444444444
14,34,0
14,1,0
14,3,0
14,4,0
14,2,0
15,34,0.11764705882352941
15,33,0.16666666666666666
15,34,0
15,33,0
16,33,0.16666666666666666
16,34,0.11764705882352941
16,33,0
16,34,0
17,6,0.5
17,7,0.5
17,6,0
17,7,0
18,2,0.2222222222222222
18,1,0.125
18,1,0
18,2,0
19,33,0.16666666666666666
19,34,0.11764705882352941
19,34,0
19,33,0
20,34,0.058823529411764705
20,1,0.125
20,2,0.2222222222222222
20,34,0
20,1,0
20,2,0
21,33,0.16666666666666666
21,34,0.11764705882352941
21,34,0
21,33,0
22,2,0.2222222222222222
22,1,0.125
22,1,0
22,2,0
23,34,0.11764705882352941
23,33,0.16666666666666666
23,34,0
23,33,0
24,26,0.3333333333333333
24,28,0.5
24,34,0.23529411764705882
24,30,0.75
24,33,0.25
24,34,0
24,26,0
24,33,0
24,28,0
24,30,0
25,28,0.25
25,26,0.6666666666666666
25,32,0.3333333333333333
25,26,0
25,32,0
25,28,0
26,24,0.2
26,32,0.3333333333333333
26,25,0.6666666666666666
26,25,0
26,24,0
26,32,0
27,30,0.5
27,34,0.11764705882352941
27,34,0
27,30,0
28,3,0.1
28,25,0.3333333333333333
28,24,0.4
28,34,0.11764705882352941
28,34,0
28,3,0
28,24,0
28,25,0
29,3,0.1
29,34,0.11764705882352941
29,32,0.3333333333333333
29,34,0
29,3,0
29,32,0
30,24,0.6
30,33,0.25
30,34,0.23529411764705882
30,27,1.0
30,34,0
30,24,0
30,33,0
30,27,0
31,2,0.1111111111111111
31,33,0.25
31,9,0.6
31,34,0.17647058823529413
31,34,0
31,2,0
31,9,0
31,33,0
32,1,0.0625
32,33,0.16666666666666666
32,26,0.6666666666666666
32,29,0.6666666666666666
32,34,0.17647058823529413
32,25,0.6666666666666666
32,34,0
32,1,0
32,26,0
32,25,0
32,33,0
32,29,0
33,3,0.2
33,30,0.75
33,24,0.6
33,16,1.0
33,15,1.0
33,19,1.0
33,9,0.8
33,21,1.0
33,31,0.75
33,34,0.6470588235294118
33,32,0.3333333333333333
33,23,1.0
33,30,0
33,31,0
33,32,0
33,19,0
33,15,0
33,16,0
33,21,0
33,23,0
33,24,0
33,9,0
33,3,0
33,34,0
34,14,0.2
34,20,0.3333333333333333
34,10,0.5
34,28,0.5
34,23,1.0
34,24,0.8
34,19,1.0
34,21,1.0
34,30,1.0
34,29,0.6666666666666666
34,31,0.75
34,33,0.9166666666666666
34,15,1.0
34,9,0.6
34,32,0.5
34,16,1.0
34,27,1.0
34,9,0
34,10,0
34,14,0
34,23,0
34,24,0
34,16,0
34,15,0
34,21,0
34,20,0
34,19,0
34,32,0
34,31,0
34,33,0
34,28,0
34,29,0
34,27,0
34,30,0
null,2,null
null,1,null
null,4,null
null,3,null
null,6,null
null,5,null
null,8,null
null,7,null
null,11,null
null,9,null
null,13,null
null,12,null
null,18,null
null,14,null
null,22,null
null,20,null
null,32,null
null,34,null
null,33,null
null,32,null
null,9,null
null,10,null
null,14,null
null,15,null
null,16,null
null,19,null
null,20,null
null,21,null
null,23,null
null,24,null
null,27,null
null,28,null
null,29,null
null,30,null
null,31,null
