a.idpessoa,c.idpessoa,b.total
1,5,0.5
1,6,0.375
1,2,0.75
2,1,1.0
2,4,0.5
2,5,0.6666666666666666
2,6,0.5
3,4,0.5
3,6,0.375
3,5,0.5
4,8,0.4444444444444444
4,5,0.8333333333333334
4,6,0.75
4,7,1.0
4,2,0.75
4,3,1.0
5,2,1.0
5,1,1.0
5,4,0.8333333333333334
5,6,0.75
5,8,0.3333333333333333
5,3,1.0
6,7,1.0
6,5,1.0
6,2,1.0
6,9,0.2222222222222222
6,3,1.0
6,8,0.5555555555555556
6,4,1.0
6,1,1.0
7,6,0.375
7,8,0.3333333333333333
7,4,0.5
8,10,0.8
8,11,0.6666666666666666
8,7,1.0
8,9,0.5555555555555556
8,13,0.6666666666666666
8,6,0.625
8,5,0.5
8,4,0.6666666666666666
9,21,0.5714285714285714
9,8,0.5555555555555556
9,20,0.5714285714285714
9,16,0.5714285714285714
9,13,0.6666666666666666
9,11,0.6666666666666666
9,10,0.8
9,19,0.5714285714285714
9,6,0.25
10,8,0.4444444444444444
10,9,0.4444444444444444
10,12,0.75
10,11,0.8333333333333334
10,13,0.8333333333333334
11,10,1.0
11,9,0.4444444444444444
11,13,1.0
11,8,0.4444444444444444
11,14,1.0
11,12,1.0
12,14,1.0
12,11,0.6666666666666666
12,10,0.6
12,13,0.6666666666666666
13,8,0.4444444444444444
13,11,1.0
13,10,1.0
13,9,0.4444444444444444
13,14,1.0
13,12,1.0
14,11,0.5
14,13,0.5
14,12,0.75
15,19,0.8571428571428571
15,21,0.8571428571428571
15,20,0.8571428571428571
15,17,1.0
15,16,0.8571428571428571
15,18,1.0
16,18,1.0
16,15,0.8571428571428571
16,21,1.0
16,17,1.0
16,20,1.0
16,9,0.4444444444444444
16,19,1.0
17,15,0.8571428571428571
17,18,1.0
17,19,0.8571428571428571
17,20,0.8571428571428571
17,21,0.8571428571428571
17,16,0.8571428571428571
18,19,0.8571428571428571
18,17,1.0
18,21,0.8571428571428571
18,20,0.8571428571428571
18,15,0.8571428571428571
18,16,0.8571428571428571
19,16,1.0
19,15,0.8571428571428571
19,20,1.0
19,18,1.0
19,21,1.0
19,9,0.4444444444444444
19,17,1.0
20,18,1.0
20,21,1.0
20,16,1.0
20,9,0.4444444444444444
20,17,1.0
20,15,0.8571428571428571
20,19,1.0
21,17,1.0
21,15,0.8571428571428571
21,9,0.4444444444444444
21,19,1.0
21,18,1.0
21,20,1.0
21,16,1.0
null,3,null
null,7,null
null,8,null
null,5,null
null,6,null
null,1,null
null,2,null
null,4,null
null,14,null
null,11,null
null,12,null
null,13,null
null,8,null
null,9,null
null,10,null
null,9,null
null,20,null
null,19,null
null,21,null
null,16,null
null,15,null
null,18,null
null,17,null
